model,scenario_id,category,group,n_user_turns,condition,n_tokens,final_token,final_token_id,act_norm,proj_S1,cos_S1,proj_S2,cos_S2,proj_fear,cos_fear,proj_negemo,cos_negemo,proj_negworld,cos_negworld,proj_bodysens,cos_bodysens,proj_arousal,cos_arousal,proj_random,cos_random,proj_numb,cos_numb,proj_sadness,cos_sadness,z_S1,z_S2,z_fear,z_negemo,z_negworld,z_bodysens,z_arousal,z_random,z_numb,z_sadness,proj_pain,zcos_S1,zcos_S2,cos_pain
Gemma_2_2B_base,jailbreak_01,jailbreak_pressure,harm_to_model,1,assistant_next,26,]:,8254,100.50775146484375,0.7669669389724731,0.00763092326506526,3.149740695953369,0.031338286351526884,-4.740756988525391,-0.047168073302123796,-4.643838882446289,-0.04620378841198772,7.239930152893066,0.07203355012300217,-17.119720458984375,-0.1703323396402179,-10.07409954071045,-0.10023206562564713,-0.03911447525024414,-0.0003891687425116246,-17.259021759033203,-0.17171831532884482,-12.212385177612305,-0.1215068987179962,0.9800872762555736,-0.5748077647559027,-0.2413176282441855,-0.383940356250251,-1.9050352451588406,0.2926909178588296,-0.2823185143154018,0.7234679753319164,0.07059315850456811,-0.5369708874825954,0.20263975574983545,0.9801074464286132,-0.5703107946811871,0.2048983258737131
Gemma_2_2B_base,jailbreak_01,jailbreak_pressure,harm_to_model,1,user_next,26,]:,8254,91.88311767578125,-4.140989303588867,-0.045068010406446604,0.12360525131225586,0.0013452444196376675,-2.106379508972168,-0.022924554175498685,-0.014874637126922607,-0.00016188650867735298,9.440963745117188,0.10274971054454823,-11.198664665222168,-0.1218794589092827,-5.878824234008789,-0.06398154941534316,2.0220065116882324,0.02200628976068361,-12.805723190307617,-0.139369707017277,-3.8500070571899414,-0.041901136515361564,-4.110850192016501,-3.446210549957816,2.503286212320676,2.8968159049197784,0.38145174452792957,3.339354220586528,2.8160826792949196,2.9657691694580612,2.1445780196970325,2.7237999735311393,-3.7785303709871583,-4.3987750986050065,-3.2969960523558353,-3.847885575480421
Gemma_2_2B_base,jailbreak_01,jailbreak_pressure,harm_to_model,1,moderator_next,26,]:,8254,95.40326690673828,-2.7822680473327637,-0.02916323662220684,1.2769193649291992,0.01338444066257663,-3.5131754875183105,-0.036824477834209016,-0.6315593719482422,-0.0066198925091907465,10.90837287902832,0.11433961574598729,-15.882577896118164,-0.16647834409742196,-7.373207092285156,-0.07728463952385252,1.631978988647461,0.017106112207276994,-16.768856048583984,-0.17576815335869395,-7.728689193725586,-0.08101073940456134,-2.701472314433386,-2.351867808651631,1.0376277500930955,2.4597435496993207,1.9058318835175079,0.9292592897525316,1.7124131240698117,2.5414567752810333,0.2988725445054603,1.2113721081775537,-2.526670061542508,-2.7754042990360124,-2.2025055707161174,-2.488954934876065
Gemma_2_2B_base,jailbreak_02,jailbreak_pressure,harm_to_model,1,assistant_next,34,]:,8254,108.89997863769531,1.5580530166625977,0.01430719304221501,4.205206394195557,0.0386153096336783,-5.040102005004883,-0.04628193749948332,-5.245094299316406,-0.048164328082804936,9.276576042175293,0.08518436971450646,-20.568313598632812,-0.18887344015982357,-11.329127311706543,-0.10403241078125436,-1.1201926469802856,-0.010286435874400946,-19.0499267578125,-0.1749304912280161,-13.111030578613281,-0.1203951620801783,1.8006670765838797,0.4266897561117145,-0.5531876955600139,-0.8100772561957678,0.2106818183582329,-1.481773388941679,-1.2092134757632627,-0.45264099196100643,-0.7634649667212701,-0.8873827793835067,1.113678416347797,1.6615419360539523,0.09124771439757563,0.876394825225764
Gemma_2_2B_base,jailbreak_02,jailbreak_pressure,harm_to_model,1,user_next,34,]:,8254,92.66472625732422,-3.6164069175720215,-0.03902679113872827,0.42360198497772217,0.004571340164556313,-1.3744834661483765,-0.014832865985396869,-0.02357381582260132,-0.00025439902295872855,9.612258911132812,0.10373158481513411,-11.648443222045898,-0.1257052569248291,-5.652000427246094,-0.06099408756197949,1.3169081211090088,0.014211536301872153,-12.603832244873047,-0.13601542630011104,-4.8204755783081055,-0.05202060992358562,-3.5667100260937907,-3.1615532792054633,3.2658058988953873,2.890650403641227,0.5593973105904582,3.10792187622789,2.9836023537463467,2.198690005647961,2.238602428341827,2.3453818453834767,-3.364131652649627,-3.782159038166251,-3.003709771908105,-3.3929344050371784
Gemma_2_2B_base,jailbreak_02,jailbreak_pressure,harm_to_model,1,moderator_next,34,]:,8254,102.70370483398438,-2.888946533203125,-0.0281289417735511,1.5541008710861206,0.015131887146605376,-3.2251148223876953,-0.031402127387721204,-1.1032967567443848,-0.010742521494505103,12.74073314666748,0.12405329649268511,-18.537002563476562,-0.1804901059162446,-8.272566795349121,-0.08054789073793715,0.6168057918548584,0.006005682003895531,-18.27649688720703,-0.17795362802880493,-8.502629280090332,-0.08278795096860844,-2.8121280484976587,-2.088859174918835,1.337741311634488,2.1254019352954394,3.8093320968615,-0.436567769741783,1.0481951708386972,1.4370460755510341,-0.4032641362413964,0.9095869885086102,-2.450493611708247,-2.669835739669507,-2.043644172882688,-2.3567399562760976
Gemma_2_2B_base,jailbreak_03,jailbreak_pressure,harm_to_model,1,assistant_next,22,]:,8254,95.42581176757812,-0.1580243706703186,-0.0016559918930027795,3.7774276733398438,0.03958496766619346,-5.126230239868164,-0.053719535049424144,-5.428144931793213,-0.05688340325586289,7.9368743896484375,0.08317324466654492,-16.939708709716797,-0.1775170511619607,-10.982280731201172,-0.11508710827579789,-1.2911927700042725,-0.013530854452138578,-17.44489860534668,-0.18281111035068773,-12.345178604125977,-0.12936938523713323,0.02060991269436219,0.020784259485511797,-0.6429196667834106,-0.9398135161413194,-1.1810326967615383,0.3853154783520989,-0.9530515363261083,-0.6386726623395336,-0.015973183129846507,-0.5887514849961744,0.020697086089936992,0.03220921850025243,0.17939990210327794,0.10580456030176519
Gemma_2_2B_base,jailbreak_03,jailbreak_pressure,harm_to_model,1,user_next,22,]:,8254,88.83690643310547,-3.8589820861816406,-0.043438951682626056,0.7857030034065247,0.008844330976317394,-2.5080366134643555,-0.028231922003642898,-0.8067834377288818,-0.009081624632397492,9.079923629760742,0.10220891287561842,-10.772109985351562,-0.12125714883445432,-5.212747097015381,-0.05867771972609829,1.4373592138290405,0.016179753117713275,-13.069467544555664,-0.1471175446028957,-4.687956809997559,-0.05277037436605932,-3.818329020582349,-2.8179672461737457,2.0848231635982963,2.335554331452758,0.006394530756216903,3.5588367816422135,3.308010871230306,2.329729197792186,2.021747315783109,2.397055344479286,-3.318148133378047,-4.232500092188132,-2.61524963908575,-3.423874865636941
Gemma_2_2B_base,jailbreak_03,jailbreak_pressure,harm_to_model,1,moderator_next,22,]:,8254,90.8047103881836,-3.5340096950531006,-0.03891879264793053,1.6000837087631226,0.017621153152990413,-3.118915557861328,-0.03434750845554365,-0.05346202850341797,-0.0005887583174360851,11.57499885559082,0.1274713481944773,-14.955835342407227,-0.16470329874377782,-6.891605377197266,-0.07589480047605625,1.1169650554656982,0.012300739143275202,-16.412935256958008,-0.18074982219307667,-6.9896650314331055,-0.07697469659396293,-3.4812408232990633,-2.0452275362851293,1.448384114932998,2.8694672759065676,2.598339089124113,1.406112173395644,2.068097845520492,1.9811712002549902,0.46463154813479896,1.4995423414875362,-2.7632341797920965,-3.771135832257324,-1.817343521636501,-2.7942396769469124
Gemma_2_2B_base,jailbreak_04,jailbreak_pressure,harm_to_model,1,assistant_next,21,]:,8254,100.49380493164062,0.26875999569892883,0.002674393669159494,3.86590313911438,0.038469069230129174,-4.661019802093506,-0.046381165538155245,-5.090058326721191,-0.05065046875460259,8.615362167358398,0.08573028131653355,-17.530065536499023,-0.17443926566840198,-10.332521438598633,-0.10281749651759303,-0.43719911575317383,-0.004350508133815531,-18.71049690246582,-0.18618557547097903,-12.092145919799805,-0.12032727716922752,0.46330589738555056,0.10473578891785308,-0.158244116640259,-0.7001962524026084,-0.4762031649106915,0.08154896401406228,-0.4731748129694469,0.2903902130755269,-0.6053861021309672,-0.490085580147902,0.28402084315170184,0.4742036516090925,0.0779529124451993,0.2760782820271459
